               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.024788,            0.010102,           0.0010809,             0.49997,             0.79213,             0.47929,             0.31267,            0.019517,            0.013377,           0.0010421,            0.006337,            0.006337,            0.006337
                 113,            0.024621,            0.010298,           0.0010399,             0.47965,              0.8158,             0.47191,              0.3113,            0.018955,            0.013452,          0.00099023,            0.006304,            0.006304,            0.006304
                 114,             0.02454,            0.010594,           0.0010403,             0.48197,             0.79078,             0.46882,             0.31412,            0.018872,            0.013746,          0.00099657,            0.006271,            0.006271,            0.006271
                 115,             0.02507,             0.01027,          0.00097862,             0.48971,             0.83649,             0.47457,             0.31895,            0.018577,            0.013121,          0.00097048,            0.006238,            0.006238,            0.006238
                 116,            0.023881,            0.010617,          0.00096722,             0.48515,             0.84567,             0.47581,             0.31731,            0.018329,            0.013308,          0.00093777,            0.006205,            0.006205,            0.006205
                 117,            0.025027,             0.01023,          0.00097296,             0.47574,             0.83988,             0.47473,             0.31757,            0.019341,            0.013276,          0.00092547,            0.006172,            0.006172,            0.006172
                 118,            0.024188,            0.010288,          0.00098225,             0.48292,             0.81137,               0.473,             0.31934,            0.018351,            0.013558,          0.00098212,            0.006139,            0.006139,            0.006139
                 119,            0.024888,            0.010619,           0.0011732,             0.48019,             0.78399,              0.4614,             0.31278,            0.018125,            0.013745,           0.0010019,            0.006106,            0.006106,            0.006106
                 120,            0.023509,            0.010355,          0.00098191,             0.49488,             0.81545,             0.48098,             0.32494,            0.018142,            0.013456,          0.00098956,            0.006073,            0.006073,            0.006073
                 121,            0.023652,           0.0099462,          0.00092322,             0.47889,             0.84004,             0.48402,             0.32701,            0.018027,            0.013472,          0.00088806,             0.00604,             0.00604,             0.00604
                 122,            0.024265,            0.010579,           0.0010827,              0.4872,              0.7855,             0.47471,             0.31672,            0.018326,            0.013701,          0.00095452,            0.006007,            0.006007,            0.006007
                 123,             0.02306,            0.010191,          0.00096666,             0.48952,             0.79798,             0.46789,             0.30806,            0.017662,            0.013669,           0.0009956,            0.005974,            0.005974,            0.005974
                 124,            0.023719,            0.010019,           0.0010084,             0.48043,             0.80837,             0.47379,              0.3141,            0.018181,            0.013685,          0.00095088,            0.005941,            0.005941,            0.005941
                 125,            0.024309,            0.010191,           0.0010298,             0.48796,             0.83811,             0.47908,             0.32453,            0.018626,            0.013401,          0.00090827,            0.005908,            0.005908,            0.005908
                 126,             0.02369,            0.010335,          0.00095762,             0.48539,              0.8113,             0.47682,             0.31663,            0.018682,            0.013571,          0.00091694,            0.005875,            0.005875,            0.005875
                 127,            0.023863,           0.0099454,          0.00092525,              0.4744,             0.86465,             0.47714,             0.31757,            0.018334,            0.013486,          0.00090156,            0.005842,            0.005842,            0.005842
                 128,            0.023312,            0.010317,          0.00095798,             0.48126,             0.83622,             0.48075,             0.32778,            0.018029,            0.013312,          0.00091407,            0.005809,            0.005809,            0.005809
                 129,            0.023348,            0.010353,          0.00091573,             0.48957,             0.80734,             0.47333,             0.32002,            0.017692,            0.013296,          0.00089001,            0.005776,            0.005776,            0.005776
                 130,            0.023008,            0.010314,          0.00095481,              0.4867,             0.79818,             0.47152,             0.31833,            0.017646,            0.013493,           0.0008743,            0.005743,            0.005743,            0.005743
                 131,            0.023585,            0.010309,          0.00093201,             0.48827,             0.82986,             0.47262,             0.31489,            0.018118,            0.013738,          0.00089316,             0.00571,             0.00571,             0.00571
